fips,state,county,state_fips,county_fips,state_abb,metro_area,metro_state_county,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
04013,Arizona,Maricopa County,04,013,AZ,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282,-1.3270573070456928,1.031126372183454,-0.8491952479379273,0.184348213535984,-0.6268405946240501,0.20190311288736143,-0.2060783182531971,-1.0449766000794822,0.9051346225098478,-0.8101286801044116,0.36319617521787007,0.7159838458087484,0.2350524098493752,-0.5520375335247766,0.2960020628635889,0.6936162120948046,-0.2915899389562532,-0.2499650420229004,-0.014372586789966805
06001,California,Alameda County,06,001,CA,San Francisco,"San Francisco, Alameda County, CA",-4.623204696335717,1.3856497900071059,-0.5431420189973443,-0.04460924277818647,0.8637743330672502,0.16595939052223968,0.4971415622122916,0.10515757584609868,-0.27938167926086477,0.886606598982638,0.32500317724316724,-0.6809616485310417,0.04048305398467649,0.267836917513458,0.39537581354120865,0.30505450429641845,0.13315815874232004,-0.3470881057446599,-0.34077304524216406,0.14987486039136522,0.35413965482756293,0.2139703850362563,0.0035092544908006196
06037,California,Los Angeles County,06,037,CA,Los Angeles,"Los Angeles, Los Angeles County, CA",-1.3302669425196396,4.4240809380751385,2.319373121315647,-1.3962865448413588,1.7201048476558258,0.8710670058163611,-1.5314404233449077,-0.16422617130189163,-1.6337382890122565,-0.1236863317253391,0.4174761076851948,0.5668798049583199,-0.48890605026179534,-0.8565680198125587,-0.20473316282713738,0.926084149085838,-0.1524330201000289,0.016167033631170193,0.137420416407665,-0.17143028188952994,0.20360362711333593,0.06314112981592712,-0.14365254143672815
06059,California,Orange County,06,059,CA,Los Angeles,"Los Angeles, Orange County, CA",-3.970173812610026,1.4280398900875628,0.65673630500014335,0.7533441399116758,1.4708715827776129,-0.34712699362543464,-0.2149190857521663,0.1504752897476659,-1.0836283256218726,0.660027151401088,1.1293463014352298,-0.5409695251372634,-0.3757399220759785,0.0490728477608203,0.23776421489002442,0.06152037712543414,-0.17912245935180926,-0.02491523970330898,-0.43924209403066955,-0.4586348961315563,-0.1851954748571025,0.2436347822138343,0.13806665572650878
06075,California,San Francisco County,06,075,CA,San Francisco,"San Francisco, San Francisco County, CA",-6.367564452565027,3.971920664990119,-3.2069529395448146,-0.17363986735314307,-1.0105977098832248,1.6781413065383555,1.6466252176176916,-2.8411496671040135,-0.5017958148066718,-0.9960782040523674,-0.6099579438458996,0.34559784302115837,0.08369536324518739,0.34814468104581164,-0.04735958753971573,-0.04858386717099189,0.6228604022837213,0.3841660491968525,-0.05446503083096424,0.033133334598445106,-0.16754989168649648,0.056122581067130646,0.05458939911837099
06081,California,San Mateo County,06,081,CA,San Francisco,"San Francisco, San Mateo County, CA",-6.129390192724522,0.5380491221808594,-0.4467889410035534,0.48336780107691124,0.10430182146233313,-0.18795531065274138,-1.0666896616628438,1.0582446067142972,0.22861506314402166,0.3013850744354428,-0.3313856348027185,-0.1276136486048788,0.31409222627793165,0.9614293598474165,-1.0521440927984569,-0.2619608347028918,-0.7042044243856567,0.01155776007141164,-0.24715908589026453,0.4117690571078969,0.0509227321124765,-0.07688207163697242,-0.10561270233394048
06085,California,Santa Clara County,06,085,CA,San Francisco,"San Francisco, Santa Clara County, CA",-6.368085020749422,0.4162786883224773,0.6798825080741023,0.019386026959366774,-0.2930101604740462,0.41067791706791956,-0.16376704187241284,0.2577917186696246,0.11229698462650825,0.292004520866215,0.09984245629608374,0.6778646120287771,1.3009551826058945,0.9401226762850581,-0.22360258786615436,-0.1642071775663981,-0.10863544368024457,-0.42935621986678574,-0.08178532186393621,-0.2518837347029416,-0.06736128537391171,-0.35782598898169815,-0.019927479613080917
12011,Florida,Broward County,12,011,FL,Miami,"Miami, Broward County, FL",1.0553927486073693,2.9516116898020095,0.31890938168345023,2.083519086034093,0.6938398859079371,-0.368700563495272,-0.18946089590715665,-0.013791014311810424,1.031317958934119,0.8264417794242274,0.625869983157279,-0.3797908168712311,0.20369453212294072,0.029681007898802344,0.032524512903173534,0.1850512230417591,0.5961609708674271,0.3559904916730404,0.46506865208229076,-0.39733464092086657,0.25628609383255174,-0.5562564096706694,-0.05880017220466359
12057,Florida,Hillsborough County,12,057,FL,Tampa-Orlando,"Tampa-Orlando, Hillsborough County, FL",1.508099841042021,0.6004285129438134,0.3854251086703015,1.2264258868086708,-1.3039232098510043,-0.506165151711093,0.9782376184041915,0.26978969443712303,0.6865884205573257,-0.61291098353709506,0.8364290540344503,0.8728399994508632,-0.2727013335165013,-0.3160658031656523,-0.3247767605310366,0.8833803729046776,0.29061020789603126,-0.10289460696060147,-0.7001013604063825,-0.188792832550364,-0.12320367136260171,-0.05516949407691849,0.14865976570066408
12086,Florida,Miami-Dade County,12,086,FL,Miami,"Miami, Miami-Dade County, FL",1.8817834478924684,6.986487063496417,1.4545827236280673,1.6100212926302844,3.0494314265096567,-0.941972612255098,0.22782636860054184,-0.9265960941035634,1.3536576627843642,0.12085706678126602,-0.46146328984751894,0.907772066189468,0.10211498120847629,-0.4495383689634144,0.4995592602845214,-0.6489574854957353,-0.6433594327053552,-0.13338204152323427,0.007987128673491859,0.6104860580832979,0.04638876114477846,0.13130156092139536,0.05332383397781024
