state,county,fips,date,cumulative_cases,cumulative_deaths,week_day,daily_cases,daily_cases_rollavg7,daily_deaths,daily_deaths_rollavg7,first_case,first_death,time_since_first_case,time_since_first_death,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,premature_death_v001,poor_or_fair_health_v002,low_birthweight_v037,adult_smoking_v009,adult_obesity_v011,primary_care_physicians_v004,ratio_population_to_pcp_v004,preventable_hospital_stays_v005,flu_vaccination_v155,education_high_school_v021,education_some_college_v069,unemployment_v023,income_inequality_v044,social_association_v140,air_pollution_parti_matter_v125,drinking_water_violation_v124,severe_housing_problem_v136,high_housing_cost_household_pct_v136,life_expectancy_v147,disease_diabetes_prevalence_v060,uninsured_adult_v003,median_household_income_v063,children_eligible_free_lunch_v065,resid_segregat_black_white_v141,resid_segregat_nonwhite_white_v142,home_ownership_v153,severe_housing_cost_burden_v154,population_v051,age_below_18_pct_v052,age_above_65_pct_v053,not_proficient_english_pct_v059,gender_female_pct_v057,cancer_age_adjusted_rate,copd_prevalence,hypertension_prevalence,ami_prevalence,land_area_km2,pop_km2,metro_area,metro_state_county,PC1,PC2,PC3,PC4
Arizona,Maricopa County,04013,2019-12-27,NA,NA,Fri,NA,NA,NA,NA,2020-01-26,2020-03-20,-30,-84,3.4854368932038837,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2019-12-28,NA,NA,Sat,NA,NA,NA,NA,2020-01-26,2020-03-20,-29,-83,3.4851485148514847,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2019-12-29,NA,NA,Sun,NA,NA,NA,NA,2020-01-26,2020-03-20,-28,-82,3.484848484848485,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2019-12-30,NA,NA,Mon,NA,NA,NA,NA,2020-01-26,2020-03-20,-27,-81,3.484536082474227,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2019-12-31,NA,NA,Tue,NA,NA,NA,NA,2020-01-26,2020-03-20,-26,-80,3.484210526315789,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-01,NA,NA,Wed,NA,NA,NA,NA,2020-01-26,2020-03-20,-25,-79,3.4838709677419355,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-02,NA,NA,Thu,NA,NA,NA,NA,2020-01-26,2020-03-20,-24,-78,3.483516483516483,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-03,NA,NA,Fri,NA,NA,NA,NA,2020-01-26,2020-03-20,-23,-77,3.4831460674157304,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-04,NA,NA,Sat,NA,NA,NA,NA,2020-01-26,2020-03-20,-22,-76,3.4827586206896557,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
Arizona,Maricopa County,04013,2020-01-05,NA,NA,Sun,NA,NA,NA,NA,2020-01-26,2020-03-20,-21,-75,3.4823529411764707,NA,NA,NA,NA,NA,6474.4537293,0.1562265423,0.0716537333,0.1368639825,0.269,7.035005e-4,1421.4630363,3050,0.47,0.7764787775,0.6536831258,0.0414020738,4.4818215476,5.3029544933,10.6,1,0.1818308956,0.145675831,80.379854898,0.089,0.1386635529,65234,0.5216815676,41.705638037,32.393747135,0.6135798581,0.1433636409,4410824,0.2386828402,0.1517369544,0.051505855,0.5053717854,395,0.09,0.54,0.01,23825.949527,185.1268926345023,Phoenix,"Phoenix, Maricopa County, AZ",-1.1379598854578166,-0.5956255349070194,1.880936383513932,0.015890978905383282
