"","fips","cdc_county","cdc_state","cancer_incidence_count","cancer_age_adjusted_rate","cancer_crude_rate"
"1","02013","Aleutians East Borough","Alaska",20,194.7,120.3
"2","02290","Yukon-Koyukuk Census Area","Alaska",162,545.7,588.6
"3","02282","Yakutat City and Borough","Alaska",NA,NA,NA
"4","02280","Wrangell-Petersburg Census Area","Alaska",NA,NA,NA
"5","02275","Wrangell Borough","Alaska",NA,NA,NA
"6","02270","Wade Hampton Census Area","Alaska",83,350.2,206.3
"7","02261","Valdez-Cordova Census Area","Alaska",188,387.9,394.5
"8","02240","Southeast Fairbanks Census Area","Alaska",164,443,472.2
"9","02232","Skagway-Hoonah-Angoon Census Area","Alaska",NA,NA,NA
"10","02220","Sitka City and Borough","Alaska",180,353.6,405.6
"11","02201","Prince of Wales-Outer Ketchikan CA","Alaska",NA,NA,NA
"12","02198","Prince of Wales-Hyder Census Area","Alaska",NA,NA,NA
"13","02195","Petersburg Census Area","Alaska",NA,NA,NA
"14","02188","Northwest Arctic Borough","Alaska",98,351.9,253.9
"15","02185","North Slope Borough","Alaska",139,449.1,285.4
"16","02180","Nome Census Area","Alaska",172,481.3,349.3
"17","02230","Skagway Municipality","Alaska",NA,NA,NA
"18","02164","Lake and Peninsula Borough","Alaska",30,417,367.9
"19","02170","Matanuska-Susitna Borough","Alaska",2025,443.8,410.9
"20","02020","Anchorage Municipality","Alaska",5640,429,377.2
"21","02050","Bethel Census Area","Alaska",195,332.2,218.2
"22","02060","Bristol Bay Borough","Alaska",21,366.9,447.8
"23","02068","Denali Borough","Alaska",30,293.5,308.3
"24","02070","Dillingham Census Area","Alaska",82,404.1,329.4
"25","02090","Fairbanks North Star Borough","Alaska",1578,391.9,315.1
"26","02016","Aleutians West Census Area","Alaska",65,403.1,225.3
"27","02105","Hoonah-Angoon Census Area","Alaska",NA,NA,NA
"28","02110","Juneau City and Borough","Alaska",627,378.4,385.9
"29","02122","Kenai Peninsula Borough","Alaska",1414,405.3,490.8
"30","02130","Ketchikan Gateway Borough","Alaska",NA,NA,NA
"31","02150","Kodiak Island Borough","Alaska",241,419.2,346.9
"32","02100","Haines Borough","Alaska",59,368.4,463.1
"33","01099","Monroe County","Alabama",637,440.1,579.2
"34","01097","Mobile County","Alabama",10723,445.8,517.7
"35","01095","Marshall County","Alabama",2560,450.2,542
"36","01093","Marion County","Alabama",1003,471.3,664.5
"37","01091","Marengo County","Alabama",597,454.5,598.8
"38","01089","Madison County","Alabama",8811,446.7,504.2
"39","01087","Macon County","Alabama",605,471.3,613.3
"40","01081","Lee County","Alabama",2742,403.2,356.2
"41","01083","Limestone County","Alabama",2422,472.1,536.6
"42","01079","Lawrence County","Alabama",1013,470.5,605.9
"43","01077","Lauderdale County","Alabama",2618,423.7,565.4
"44","01075","Lamar County","Alabama",501,487.1,711.6
"45","01073","Jefferson County","Alabama",17390,455.5,527.6
"46","01085","Lowndes County","Alabama",355,513.3,675.2
"47","01101","Montgomery County","Alabama",5364,434.4,471.5
"48","01133","Winston County","Alabama",731,428.2,607.6
"49","01105","Perry County","Alabama",257,425.5,521.9
"50","01071","Jackson County","Alabama",1622,457.4,617.3
"51","01131","Wilcox County","Alabama",342,488,619.8
"52","01129","Washington County","Alabama",447,412.8,530
"53","01127","Walker County","Alabama",2235,515.8,684.2
"54","01999","Unknown","Alabama",830,NA,NA
"55","01125","Tuscaloosa County","Alabama",4439,445.6,438.2
"56","01103","Morgan County","Alabama",3439,466.7,576
"57","01123","Tallapoosa County","Alabama",1353,475.6,662.8
"58","01115","St. Clair County","Alabama",2430,474,563.2
"59","01117","Shelby County","Alabama",4695,420.1,455.5
"60","01113","Russell County","Alabama",1499,480.2,511.9
"61","01111","Randolph County","Alabama",677,435.7,601.7
"62","01109","Pike County","Alabama",782,453,470.4
"63","01107","Pickens County","Alabama",574,437.5,574.1
"64","01121","Talladega County","Alabama",2271,449.8,558.7
"65","01069","Houston County","Alabama",2819,440.7,542.6
"66","01119","Sumter County","Alabama",353,456.7,533.5
"67","01065","Hale County","Alabama",399,399.7,528.3
"68","01027","Clay County","Alabama",431,465.4,642.3
"69","01023","Choctaw County","Alabama",423,436.2,635.6
"70","01021","Chilton County","Alabama",1110,426.6,507.9
"71","01019","Cherokee County","Alabama",811,423.6,626.9
"72","01017","Chambers County","Alabama",1201,522.8,707.1
"73","01015","Calhoun County","Alabama",3234,450.9,557.5
"74","01029","Cleburne County","Alabama",457,460.1,611.9
"75","01013","Butler County","Alabama",554,409,545.9
"76","01009","Blount County","Alabama",1586,440,550.9
"77","01007","Bibb County","Alabama",639,478.3,566
"78","01005","Barbour County","Alabama",726,429.8,546.2
"79","01003","Baldwin County","Alabama",5943,445,597.8
"80","01001","Autauga County","Alabama",1520,495.6,553.5
"81","01067","Henry County","Alabama",546,451.1,638.1
"82","01011","Bullock County","Alabama",300,481.3,569.3
"83","01031","Coffee County","Alabama",1269,412,498.4
"84","01025","Clarke County","Alabama",775,472.1,624
"85","01035","Conecuh County","Alabama",405,452,634.6
"86","01063","Greene County","Alabama",280,468.2,648.3
"87","01061","Geneva County","Alabama",827,445.4,620.1
"88","01059","Franklin County","Alabama",810,430.9,513.6
"89","01057","Fayette County","Alabama",526,446.3,628
"90","01055","Etowah County","Alabama",3201,478.7,619
"91","01033","Colbert County","Alabama",1589,433.1,583.7
"92","01051","Elmore County","Alabama",2179,485.8,540
"93","01049","DeKalb County","Alabama",1700,395.5,478.5
"94","01053","Escambia County","Alabama",1050,440.7,556.5
"95","01045","Dale County","Alabama",1333,454.2,537.4
"96","01043","Cullman County","Alabama",2316,444,570.4
"97","01041","Crenshaw County","Alabama",431,469.2,621.3
"98","01039","Covington County","Alabama",1255,486,666.5
"99","01037","Coosa County","Alabama",300,355.1,541.8
"100","01047","Dallas County","Alabama",1288,510,621.2
"101","05109","Pike County","Arkansas",332,456.5,603.8
"102","05099","Nevada County","Arkansas",263,434.9,608.5
"103","05107","Phillips County","Arkansas",569,466.5,570.4
"104","05105","Perry County","Arkansas",353,497.1,684.5
"105","05103","Ouachita County","Arkansas",845,486.4,684.7
"106","05101","Newton County","Arkansas",217,335.2,546.3
"107","05097","Montgomery County","Arkansas",304,414,665
"108","05081","Little River County","Arkansas",389,455.1,617.2
"109","05093","Mississippi County","Arkansas",1111,459.2,502.6
"110","05091","Miller County","Arkansas",1092,422.1,499.8
"111","05089","Marion County","Arkansas",699,480.2,851.8
"112","05087","Madison County","Arkansas",430,412.4,545.8
"113","05085","Lonoke County","Arkansas",1867,509.2,526
"114","05083","Logan County","Arkansas",668,446.6,611.7
"115","05111","Poinsett County","Arkansas",841,542,697.3
"116","05095","Monroe County","Arkansas",298,526.4,787
"117","05113","Polk County","Arkansas",642,427.7,633.4
"118","05145","White County","Arkansas",2271,507.8,577.8
"119","05117","Prairie County","Arkansas",313,506.6,749.1
"120","05149","Yell County","Arkansas",629,463.3,580.9
"121","05147","Woodruff County","Arkansas",287,592.7,836.5
"122","05079","Lincoln County","Arkansas",295,370.7,421.7
"123","05143","Washington County","Arkansas",4624,465.3,421.3
"124","05141","Van Buren County","Arkansas",715,520.4,847.2
