"","fips","cms_county","cms_state","copd_prevalance","hypertension_prevalence","ami_prevalence"
"1","01001","Autauga County","Alabama",0.14,0.64,0.01
"2","01003","Baldwin County","Alabama",0.12,0.6,0.01
"3","01005","Barbour County","Alabama",0.11,0.68,0.02
"4","01007","Bibb County","Alabama",0.14,0.68,0.01
"5","01009","Blount County","Alabama",0.15,0.65,0.01
"6","01011","Bullock County","Alabama",0.1,0.72,0.01
"7","01013","Butler County","Alabama",0.17,0.71,0.01
"8","01015","Calhoun County","Alabama",0.18,0.66,0.02
"9","01017","Chambers County","Alabama",0.15,0.67,0.01
"10","01019","Cherokee County","Alabama",0.19,0.64,0.02
"11","01021","Chilton County","Alabama",0.14,0.66,0.01
"12","01023","Choctaw County","Alabama",0.11,0.74,0.01
"13","01025","Clarke County","Alabama",0.11,0.6,0.01
"14","01027","Clay County","Alabama",0.16,0.66,0.01
"15","01029","Cleburne County","Alabama",0.18,0.65,0.02
"16","01031","Coffee County","Alabama",0.16,0.68,0.01
"17","01033","Colbert County","Alabama",0.18,0.72,0.01
"18","01035","Conecuh County","Alabama",0.2,0.72,0.01
"19","01037","Coosa County","Alabama",0.16,0.64,0.01
"20","01039","Covington County","Alabama",0.2,0.71,0.01
"21","01041","Crenshaw County","Alabama",0.17,0.66,0.01
"22","01043","Cullman County","Alabama",0.15,0.66,0.01
"23","01045","Dale County","Alabama",0.17,0.68,0.01
"24","01047","Dallas County","Alabama",0.11,0.68,0.01
"25","01049","DeKalb County","Alabama",0.18,0.65,0.01
"26","01051","Elmore County","Alabama",0.15,0.62,0.01
"27","01053","Escambia County","Alabama",0.15,0.66,0.01
"28","01055","Etowah County","Alabama",0.2,0.67,0.01
"29","01057","Fayette County","Alabama",0.2,0.69,0.01
"30","01059","Franklin County","Alabama",0.19,0.69,0.01
"31","01061","Geneva County","Alabama",0.16,0.66,0.01
"32","01063","Greene County","Alabama",0.11,0.7,0.01
"33","01065","Hale County","Alabama",0.12,0.66,0.01
"34","01067","Henry County","Alabama",0.13,0.66,0.01
"35","01069","Houston County","Alabama",0.12,0.66,0.02
"36","01071","Jackson County","Alabama",0.16,0.67,0.01
"37","01073","Jefferson County","Alabama",0.1,0.61,0.01
